Fecha,ID_Producto,Producto,Precio_Unitario,Cantidad,Precio_Total,Sucursal
2025-11-01,P001,Laptop,3200.5,2,6401,Santiago
2025-11-02,P002,Mouse,25.9,5,129.5,Concepción
2025-11-03,P003,Teclado,45,3,135,Valparaíso
2025-11-04,P004,"Monitor 27""",189.9,1,189.9,Santiago
2025-11-05,P005,Impresora,120,4,480,Antofagasta
2025-11-06,P006,Disco SSD 1TB,89.99,2,179.98,Concepción
2025-11-07,P007,WebCam HD,39.95,3,119.85,Valdivia
2025-11-08,P008,Auriculares BT,55.5,2,111,Temuco
2025-11-09,P009,Silla Gamer,249,1,249,Santiago
2025-11-10,P010,Router WiFi 6,99.9,2,199.8,Chillán
2025-11-11,P011,"Tablet 10""",210,3,630,Concepción
2025-11-12,P012,Disco HDD 2TB,75,4,300,Valparaíso
2025-11-13,P013,Memoria RAM 16GB,89.5,2,179,Antofagasta
2025-11-14,P014,Parlantes PC,35,3,105,Temuco
2025-11-15,P015,Smartwatch,140,2,280,Santiago
2025-11-16,P016,Cargador USB-C,18.99,5,94.95,Valdivia
2025-11-17,P017,Micro SD 128GB,22.9,4,91.6,Chillán
2025-11-18,P018,Notebook Gamer,1450,1,1450,Antofagasta
2025-11-19,P019,Switch HDMI,29.9,2,59.8,Valparaíso
2025-11-20,P020,UPS 1000VA,160,1,160,Concepción
